rank,Name,Score,Return,Pick1,Pick2,Pick3
1,Jho,1870.038218270571,18.70038218270571,ETH,UNI,ALGO
2,mc_scrad,1724.817031216719,17.24817031216719,UNI,FTXTOKEN,SUSHI
3,LONG ETH,1429.9376870605674,14.299376870605673,ETH,ETH,ETH
4,stooart,1321.8245962466558,13.218245962466558,AAVE,CEL,AAVE
5,Zaclele,1109.1985527835736,11.091985527835735,DOGE,ETH,AR
6,SquatBandit,711.3614042552507,7.113614042552507,ETH,BNB,BNB
7,V Money 🤑,558.3312977633636,5.5833129776336365,DOT,BTC,ETH
8,V Money,418.83917446763786,4.1883917446763785,BTC,ETH,BNB
9,Shopolopoulopoulos,418.83917446763786,4.1883917446763785,BTC,ETH,BNB
10,Hunter,418.83917446763786,4.1883917446763785,BTC,ETH,BNB
11,Choukilele,313.30933645829396,3.1330933645829395,BTC,ETH,NEXO
12,Kryptonite,244.91949012747094,2.4491949012747094,BITTORRENT,SNX,ETH
13,HotBatTakesTheCake,176.74147845039178,1.7674147845039179,HOT,BAT,CAKE
14,ETH my shorts,113.83905710592445,1.1383905710592446,BNB,XRP,CAKE
15,Dawn of crytpo,55.13075770749665,0.5513075770749665,ETH,BNB,DOGE
16,CryptoElite,-51.45085198783317,-0.5145085198783317,BTC,RUNE,ETH
17,Big Swinging Donkey,-80.40509564383069,-0.8040509564383069,LTC,LTC,LTC
18,PatMcFly,-207.90507438171568,-2.079050743817157,ETH,BTC,XRP
19,Mati Roy,-237.39147208011624,-2.3739147208011624,DOGE,BTC,ETH
20,JN,-237.39147208011624,-2.3739147208011624,BTC,ETH,DOGE
21,Aries,-525.4934265102462,-5.254934265102462,BTC,BTC,BTC
22,Felicia Bootylicious,-525.4934265102462,-5.254934265102462,BTC,BTC,BTC
23,LONG BTC,-525.4934265102462,-5.254934265102462,BTC,BTC,BTC
24,DollarBillClinton,-535.555878177495,-5.355558781774949,XRP,NEO,SUSHI
25,Arodo,-571.6134911418569,-5.716134911418569,XRP,DOGE,ETH
26,Elkmeister,-759.7227178122046,-7.597227178122045,XRP,ADA,BTC
27,Numanuma,-856.9986408101993,-8.569986408101993,VET,XLM,KCS
